1.565521061420440674e-01 4.776846468448638916e-01 5.017696022987365723e-01
1.445096433162689209e-01 4.937412738800048828e-01 7.345907092094421387e-01
1.445096433162689209e-01 4.656421840190887451e-01 3.733165860176086426e-01
1.565521061420440674e-01 5.178261995315551758e-01 6.262084245681762695e-01
1.605662703514099121e-01 4.455713927745819092e-01 6.262084245681762695e-01
2.689484953880310059e-01 5.378969907760620117e-01 7.345907092094421387e-01
2.689484953880310059e-01 4.174723029136657715e-01 6.262084245681762695e-01
3.893732130527496338e-01 5.619819164276123047e-01 7.345907092094421387e-01
4.014156758785247803e-01 3.974015116691589355e-01 7.345907092094421387e-01
4.857129752635955811e-01 5.499394536018371582e-01 6.262084245681762695e-01
5.097979307174682617e-01 4.054298400878906250e-01 6.262084245681762695e-01
5.298687219619750977e-01 5.298687219619750977e-01 7.345907092094421387e-01
5.338828563690185547e-01 4.415572285652160645e-01 6.262084245681762695e-01
7.305765151977539062e-01 5.218403935432434082e-01 7.345907092094421387e-01
7.305765151977539062e-01 4.335289299488067627e-01 7.345907092094421387e-01
9.232560396194458008e-01 5.178261995315551758e-01 6.262084245681762695e-01
9.192419052124023438e-01 4.415572285652160645e-01 5.017696022987365723e-01
